model,prune,quant,test_batch_size,sampling_rate,input_resolution,accuracy,output_fps,macs
GOOGLENET,0.0,float32,1,3.0,224,0.001,76.33,114860711270.34203
GOOGLENET,0.0,float32,1,6.0,224,0.001,89.28,134362900817.18095
GOOGLENET,0.0,float32,1,9.0,224,0.001,92.31,138921050733.67523
GOOGLENET,0.0,float32,1,12.0,224,0.001,89.04,133994731257.09409
GOOGLENET,0.0,float32,1,15.0,224,0.001,90.38,136008364355.47285
GOOGLENET,0.0,float32,1,18.0,224,0.001,95.57,143816814875.7324
GOOGLENET,0.0,float32,1,21.0,224,0.001,94.42,142086335112.64874
GOOGLENET,0.0,float32,1,24.0,224,0.001,92.63,139397338756.0229
GOOGLENET,0.0,float32,1,27.0,224,0.001,94.98,142935473845.09708
GOOGLENET,0.0,float32,1,30.0,224,0.001,96.55,145299227747.8185
GOOGLENET,0.0,float32,1,3.0,336,0.001,82.17,280160499837.8034
GOOGLENET,0.0,float32,1,6.0,336,0.001,87.39,297963181666.484
GOOGLENET,0.0,float32,1,9.0,336,0.001,81.41,277590976764.56726
GOOGLENET,0.0,float32,1,12.0,336,0.001,88.96,303337016162.0079
GOOGLENET,0.0,float32,1,15.0,336,0.001,86.07,293460707106.6338
GOOGLENET,0.0,float32,1,18.0,336,0.001,88.21,300755791212.18555
GOOGLENET,0.0,float32,1,21.0,336,0.001,88.5,301765746987.0718
GOOGLENET,0.0,float32,1,24.0,336,0.001,89.83,306291416041.52124
GOOGLENET,0.0,float32,1,27.0,336,0.001,89.47,305083750499.46484
GOOGLENET,0.0,float32,1,30.0,336,0.001,89.71,305886243566.3184
GOOGLENET,0.0,float32,1,3.0,448,0.001,71.92,432682818295.44196
GOOGLENET,0.0,float32,1,6.0,448,0.001,81.04,487551241994.54816
GOOGLENET,0.0,float32,1,9.0,448,0.001,78.88,474569445910.56116
GOOGLENET,0.0,float32,1,12.0,448,0.001,82.89,498693044490.64075
GOOGLENET,0.0,float32,1,15.0,448,0.001,85.28,513070198873.0706
GOOGLENET,0.0,float32,1,18.0,448,0.001,86.52,520554395289.4789
GOOGLENET,0.0,float32,1,21.0,448,0.001,86.85,522527471996.9451
